27-1022	Fashion designers	annual	73180	0	33170	0	63670	0	125270	0	bachelor	23.1	23.8	2.9	6.2
27-1024	Graphic designers	annual	51640	0	27560	0	46900	0	81320	0	bachelor	261.6	265.2	1.4	65.8
27-1025	Interior designers	annual	55510	0	26130	0	48840	0	91360	0	bachelor	58.9	61.1	3.8	16.2
27-1027	Set and exhibit designers	annual	54920	0	24580	0	49530	0	92470	0	bachelor	13.3	14.2	6.8	4.1
27-1029	Designers, all other	annual	62220	0	23650	0	53280	0	109610	0	bachelor	8.9	9.5	6.2	2.7
27-2012	Producers and directors	annual	89670	0	31780	0	68440	0	181780	0	bachelor	122.6	133.8	9.1	50.5
27-2022	Coaches and scouts	annual	40050	0	17930	0	31000	0	70050	0	bachelor	250.6	265.4	5.9	99.4
27-2041	Music directors and composers	annual	59040	0	21070	0	49820	0	101150	0	bachelor	82.1	84.7	3.2	26.4
27-3011	Radio and television announcers	annual	46410	0	18000	0	30960	0	86780	0	bachelor	42.3	36.3	-14.3	12.2
27-3021	Broadcast news analysts	annual	89240	0	27370	0	65530	0	187200	1	bachelor	5.1	4.5	-12.6	1.6
27-3022	Reporters and correspondents	annual	46560	0	21390	0	36360	0	81580	0	bachelor	49.3	45.1	-8.5	15.9
27-3031	Public relations specialists	annual	65830	0	31690	0	56770	0	110080	0	bachelor	240.7	255.6	6.2	43.6
27-3041	Editors	annual	64910	0	29230	0	56010	0	109760	0	bachelor	117.2	111	-5.3	42.5
27-3042	Technical writers	annual	73350	0	41610	0	70240	0	112220	0	bachelor	52	57.3	10.2	17.2
27-3043	Writers and authors	annual	69130	0	29230	0	60250	0	114530	0	bachelor	136.5	139.7	2.3	26.1
27-3091	Interpreters and translators	annual	48360	0	23160	0	44190	0	78520	0	bachelor	61	78.5	28.7	27.2
27-4031	Camera operators, television, video, and motion picture	annual	59360	0	25070	0	49080	0	105120	0	bachelor	25.4	25.9	2	2.8
27-4032	Film and video editors	annual	80300	0	26270	0	61750	0	155840	0	bachelor	33.5	39.4	17.6	8.9
29-1011	Chiropractors	annual	78370	0	31310	0	64440	0	140580	0	doctoral or professional	45.2	53.1	17.5	16
29-1021	Dentists, general	annual	172350	0	68310	0	152700	0	187200	1	doctoral or professional	129	152.3	18	49.6
29-1022	Oral and maxillofacial surgeons	annual	233900	0	85270	0	187200	1	187200	1	doctoral or professional	6.8	8	17.9	2.6
